,Criteria i,Criteria ii,Criteria iii,Criteria iv,Criteria v,Criteria vi,Criteria vii,Criteria viii,Criteria ix,Criteria x,Others
0,of human creative,more than,of early,example of a type,a period,political,the great,impressive,is one,include the,royal
1,a unique and,manner,the archaeological,dominant,a cultural,indigenous,exceptional natural,this region,and biological,bird species,in the area
2,the exceptional,an exceptional,archaeological site of,styles,the cultural landscape,is still,of exceptional,the architecture of,zone,exhibit,erosion
3,a masterpiece of,interchange of,culture of,colonization,design of,holy,geological,of monuments,geological processes, bird,include
4,unique artistic achievement,on the development of,culture of the,are outstanding examples of,bronze age,testify to,man,succession,processes,critically endangered,immense
5,masterpiece of,architecture in the,exceptional testimony to the,example of an architectural,ad,impact,trees,features,back,greatest,rome
6,a unique artistic,development of architecture,over a period,outstanding example of a,is an,islam,glaciers,changes,surrounded,plant and,wild
7,decoration,profound influence,the modern,outstanding example of the,of a type of,the most complete,deep,basin,the development of the,also contains,the eastern
8,is a masterpiece,profound influence on,bears exceptional testimony,outstanding examples of,deciduous,example of a traditional,altitude,record,worldwide,critically,north america
9,artistic achievement,exerted,bears exceptional testimony to,outstanding example of an,the landscape,documented, metres,i,series,the islands,time
10,unique artistic,and landscape,bears exceptional,are an outstanding example,century ad,which has,resources,elsewhere,changes in,mammals,an extraordinary
11,interior,architecture in,economic and,is an outstanding example,create,species such as,abundant,array,remaining, are,socio economic
12,a masterpiece,the influence,the site,the new,cultural landscape,represented by,it represents,dominated,level,of this,east asia
13,represents a,of architecture,itself,imperial,the sacred,of the site,rugged,example of a type of,earth, species of,fields
14,overall,a profound influence,the archaeological site,the establishment of,the urban,had a,a large,mountain,the church of,diversity of,the sea
15,contains,a profound,monument,administrative,a profound influence on,field,group of,scenery,wetlands,are still,surrounding
16,sculpture,asia,many of,of northern,bridge,directly and tangibly associated,on the,illustrating,found in,over a,an important interchange of
17,creative,the first,of one,organization,a series of,outstanding universal,result of,evolution,endemic to the, species,biological
18,can be,ritual,a unique testimony,vestiges,desert,painted,waterfalls,gulf,sand,animal species,production
19,and artistic,exhibits,an exceptional testimony to,a model,witness to,became the,of major,adaptation of,evergreen,tree,thus
20,and exceptional,influence on the,an exceptional testimony,of an architectural,commercial,and tangibly associated with,work of,caves,represent a,leopard,transition
21,decorated,influence on the development,testimony to a,type of,technology,directly and tangibly,climate change,climatic,contributes,species such,exceptional testimony to a
22,romanesque,important interchange of,of endemism,complexes,high degree,tangibly associated with,black,architectural and artistic,represents an outstanding,plant species,cultures
23,process of,of influences,provides an,the construction,colonies,became,unusual,most of,ecological,ancient city,palace
24,the churches,unity,of one of,of a type,buddhist,together,dune,settlement,habitats and,wet,exceptional
25,design,art and,and to the,and social,form of,tangibly,size,protects,areas of,of which,remains of the
26,relation,the indian,end of,the late,origin,exchange of,unique,evolved,are endemic,total,traces
27,masterpiece,architecture of the,history,free,interaction with,gave,pristine,even,pacific,the flora,archaeological sites
28,all the,elements of,unique testimony to,historic centre of,square,of religious,basis,furthermore,and in the,are endemic to,extensive
29,capital of the,role in the,and political,are an outstanding,of different,potential,an exceptional testimony of,canal,and culture,the greatest,evidence of the
30,cultural and,synthesis of,burial,international,of landscape,byzantine,witness to the,waterfalls,mountains,includes,mammal
31,design and,kingdom of,is home to,developed,in a,latin,plants,rocky,grasslands, endemic,of life
32,the historic centre of,an important interchange,outstanding testimony,a rare,wine,interchange of human,temperate,contrast,coastal,lower,reserve
33,preserves,important interchange,exceptional witness,representative of the,of traditional,technological,down,north of,ground,national park,location
34,mosques,de,painting,is an outstanding,reflecting,access,gorges,unusual,ecological and,protected,illustrated by the
35,in their,bronze,urban and architectural,the historic,and south,exceptional natural beauty,underground,ranging,in the development of,a series,the study of
36,outstanding universal value,than,after the,city of,can be seen,heart of,mosaic,globally,meadows,bear,a highly
37,universal significance,contributed to the,millennium,is unique,of a traditional,rare and,forest,ancient,existing,including,within the property
38,terms of,architects,link,examples of,following,ancestral,clear,directly and tangibly associated with,tropical,particularly,species include
39,renaissance,to the development,many of the,characteristic of the,earlier,relationship,up to,etc,sandy,large number,provide
40,sanctuary of,an important,and decorative,the architecture and,cultural landscape of,by the,peaks,highest,what,reptiles,secular
41,the renaissance,examples of the,based on the,the historic centre,over time,spread of, of the,in architecture,of flora,supports,sculptures
42,cathedral,and later,urban,and economic,example,represent the,influence on the development of,impact of,cliffs,coral,centre
43,universal value,the spanish,temple of,world,socio,heart,intact,red,order,of endemic,character
44,of outstanding,resulted in,is an important,ideal,was,tradition,is an exceptional example of,of architecture and,and fauna,open,as such
45,terms,of human values,andean,that has,farming,important role,while,concepts,the lake,importance,lake
46,rock art,classical,sophisticated,related,origins,bears witness to,end,limestone,terrestrial,the conservation,and is
47,modern,buildings of,a global,are outstanding examples,internationally,virtue of,rio,remarkably,flora and,turn,of urban
48,of art,monuments of,with its,an example,before,tower,inspired,temperate,migration,function,led
49,genius,in terms of,the historic town,example of an,mosaic,virtue,is a masterpiece of,an exceptional testimony of,only,of the property,the past
