Unnamed: 0,data,len,true,fuzzy,id,single,split
3135,"these living historic towns are an outstanding example of traditional human settlements and the last surviving evidence of an original and traditional mode of occupying space , very representative of the nomadic culture and long distance trade in a desert environment",39,[0 0 0 0 1 0 0 0 0 0 0],[0.  0.  1.  1.  1.  0.  0.  0.  0.  0.  0.2],750,5,train
1835,these monuments are the testimony of a precious part of the cultural heritage of humanity . ,15,[0 0 0 0 0 1 0 0 0 0 0],[1.  1.  1.  1.  0.  1.  0.  0.  0.  0.  0.2],404,6,train
3832,the counter reformation of the late <NUM> th century led to a flowering in the creation of calvaries in europe,18,[0 0 0 1 0 0 0 0 0 0 0],[0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],905,4,train
1919,these three monasteries are outstanding examples of a type of construction characteristic of the middle period of byzantine religious architecture,20,[0 0 0 1 0 0 0 0 0 0 0],[1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],537,4,train
4418,"the landscape of the serra de tramuntana eminently exemplifies the interchange between the muslim and christian cultures , which is representative of the mediterranean area , in the combination of the arabic water harvesting and management technology with the agricultural know how and the territorial control system introduced by the christian conquerors , who took over the island of mallorca in <NUM> th century ad",60,[0 1 0 0 0 0 0 0 0 0 0],[0.  1.  0.  1.  1.  0.  0.  0.  0.  0.  0.2],1371,2,train
447," in total <NUM>  species of which <NUM>  endemic are threatened with extinction , including <NUM>  species of mammals of which <NUM>  are primates",22,[0 0 0 0 0 0 0 0 0 1 0],[0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.2],892,10,train
4939,the feral soay sheep are also an interesting rare breed of potential genetic resource significance . ,15,[0 0 0 0 0 0 0 0 0 1 0],[0.  0.  1.  0.  1.  0.  1.  0.  1.  1.  0.2],387,10,train
5614,"mercury extraction took place in a very limited number of mines , of which the two largest were almaden and idrija",20,[0 1 0 0 0 0 0 0 0 0 0],[0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],1313,2,train
5215,"this site , which dates to <NUM>  , <NUM>  <NUM>  , <NUM>  bp , is an outstanding example of landscape design and monumental earthwork construction by a population of hunter fisher gatherers",23,[0 0 1 0 0 0 0 0 0 0 0],[0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.2],1435,3,train
538,"as the very location the african stepped onto american soil and with it into their new lives as enslaved labour , the site evokes painful memories , which many african brazilians can strongly relate to",33,[0 0 0 0 0 1 0 0 0 0 0],[0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.2],1548,6,train
2569,"with the unusualness of an archaeological site which still breathes life , venice bears testimony unto itself",16,[0 0 1 0 0 0 0 0 0 0 0],[1.  1.  1.  1.  1.  1.  0.  0.  0.  0.  0.2],394,3,train
577,"the fauna of pirin national park includes <NUM>  mammal species , including brown bear , wolf and pine marten , and <NUM>  bird species",21,[0 0 0 0 0 0 0 0 1 0 0],[0.  0.  0.  0.  0.  0.  1.  1.  1.  0.  0.2],225,9,train
5545,"as parts of the roman empires general system of defense the german limes , hadrians wall and the antonine wall have an extraordinarily high cultural value",25,[0 0 1 0 0 0 0 0 0 0 0],[0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],430,3,train
418,"from the last years of the <NUM> th century onward , olinda served as one of the most important centres of the sugarcane industry , which for almost two centuries was the mainstay of the brazilian economy , and became the symbol of sugar and of the wealth it procured",46,[0 0 0 1 0 0 0 0 0 0 0],[0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],189,4,train
4251,"the serially nominated sites are situated in unique natural settings that have created a suitable environment for the capture and preservation of human and animal remains that have allowed scientists a window into the past . thus , this site constitutes a vast reserve of scientific data of universal scope and considerable potential , linked to the history of the most ancient periods of humankind . ",62,[0 0 0 0 0 1 0 0 0 0 0],[0.  0.  1.  0.  0.  1.  0.  0.  0.  0.  0.2],915,6,train
2890,"the petroglyphs , representing human and animal figures , are engraved on boulders , stones , and cliff faces",15,[0 0 1 0 0 0 0 0 0 0 0],[0.  0.  1.  0.  1.  0.  1.  0.  0.  0.  0.2],1377,3,train
2685,study of the monuments that make up villa adriana played a crucial role in the rediscovery of the elements of classical architecture by the architects of the renaissance and the baroque periods,32,[0 1 0 0 0 0 0 0 0 0 0],[1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.2],907,2,train
2432,the site is a rich source of information regarding the emergence of complex societies and some contact between them in the third millennium bce . ,24,[0 1 0 0 0 0 0 0 0 0 0],[0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],1456,2,train
2118,the tumultuous river swirling down the rugged mountains in the backdrop of forested hills coupled with the serenity of the alluvial grasslands and tropical evergreen forests offers a unique wilderness experience . ,31,[0 0 0 0 0 0 1 0 0 0 0],[0.  0.  0.  0.  0.  0.  1.  0.  1.  1.  0.2],338,7,train
296,"the striking architectural form introduced at paharpur on a grand scale for the first time in asia , profoundly influenced the subsequent construction of temples of pagan in myanmar and loro jongrang and chandi sewer temples in central java",37,[0 1 0 0 0 0 0 0 0 0 0],[1.  1.  0.  0.  0.  1.  0.  0.  0.  0.  0.2],322,2,train
3438,the pyu ancient cities marked the emergence of the first historically documented buddhist urban civilization in southeast asia,17,[0 0 1 0 0 0 0 0 0 0 0],[0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],1444,3,train
5400,the belfries of belgium and france are exceptional examples of a form of urban architecture adapted to the political and spiritual requirements of their age . ,25,[0 1 0 0 0 0 0 0 0 0 0],[0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],943,2,train
