,Criteria i,Criteria ii,Criteria iii,Criteria iv,Criteria v,Criteria vi,Criteria vii,Criteria viii,Criteria ix,Criteria x,Others
0,masterpiece of,interchange of,ritual,architectural and,traditional human settlement,orthodox,superlative,continental,tropical,critically,san
1,creative,exchange of,greek,architectural ensemble,traditional human,tangibly,spectacular,tectonic,biological,viable,directly and
2,creative genius,interchange of human values,buddhist,design and,farming,buddhist,stunning,ice,ecological,globally,el
3,art of,interchange of human,bears exceptional testimony to the,construction and,agricultural,directly and,scenic,oceanic,viable,bird,directly and tangibly
4,art in,influence on the,funerary,architectural and artistic,traditional,arab,underwater,geological,sub,endangered,interchange of human values
5,artistic and,influence on,roman,architectural,sustainable,christian,dramatic,glacial,altitudinal,species are,tropical
6,masterpieces of,influenced the,ancestral,ecclesiastical,rural,tangibly associated with,pristine,earth,biological processes,species include,directly
7,artistic achievement,influenced by,byzantine,urban planning,vernacular,tangibly associated,ocean,worlds,biological diversity,critically endangered,earth
8,art and,influence of,christian,urban and,urban and,ancestral,snow,pleistocene,ongoing,species in,viable
9,art,influenced,neolithic,architecture and,wine,directly and tangibly associated with,majestic,longest,montane,wildlife,oceanic
10,artistic,influence on the development,testimony to the,planning and,old,islamic,exceptional natural beauty,giant,ecological processes,endemic,directly and tangibly associated with
11,a masterpiece of,developments in,religious and,technological,land and,greek,giant,pacific,temperate,species of,interchange of human
12,human creative genius,influence on the development of,testimony to a,buildings and,residential,directly and tangibly,striking,ongoing,lowland,biodiversity,directly and tangibly associated
13,architect,exerted,cultural and,ceremonial,cultural landscape of,german,huge,ocean,vascular,species have,world s
14,masterpiece,profound influence on,arab,colonial,human settlement,holy,impressive,full,ecological and,vascular,creative
15,gothic,fusion of,prehistoric,technological ensemble,cultural tradition of,spiritual,barrier,fossil,relict,mammal,creative genius
16,art and architecture,interchange,ottoman,construction of,land use,directly and tangibly associated,viable,altitudinal,evergreen,globally threatened,worlds
17,work of,inspired,trading,art and,living,religious and,rugged,lava,terrestrial,nesting,world heritage
18,works of,exchanges,hellenistic,urban and architectural,urban and architectural,directly associated with,exceptional natural,spectacular,critically,bird species,not
19,monumental,exchange,portuguese,monastic,economic and,pilgrimage,magnificent,snow,restricted,habitat for,last
20,is a masterpiece of,inspired by,cultural tradition of,industrial,economic,religious,critically,geological processes,endemic,endangered species,giant
21,painted,important interchange of,burial,renaissance,fortified,chinese,glacial,volcanic,ecosystem,tropical,longest
22,architectural,interchanges,religious,building,cultural and,neo,sea,superlative,marine,species and,world
23,human creative,development in,culture and,gothic,human values,ritual,beautiful,underwater,deciduous,species such as,de
24,architectural and,arts and,traditions and,art in,medieval,russian,natural,not,species in,restricted,no
25,engineering,construction and,roman empire,military,cultural,cultural and,worlds,steep,freshwater,threatened,world and
26,baroque,construction of,islamic,art,urban,directly associated,globally,geomorphological,mangrove,fauna,red
27,romanesque,planning and,neo,military architecture,mining,spread of,wildlife,limestone,vegetation,migratory,full
28,style of,model for,testimony of the,urban layout,urban fabric,strongly,alpine,no,dominant,total,pacific
29,genius,influence,cultural traditions,urban ensemble,cultural traditions,associated with,whale,non,pacific,species such,critically
30,design and,trading,cult,arts and,ritual,spanish,surrounding,karst,evolutionary,species of mammals,masterpiece of
31,sculpture,integration of,cultural tradition,urban,ancestral,associated with the,ice,dune,climatic,richest,biological
32,architectural ensemble,spread of,worship,design of,cultural tradition,traditions and,clear,sandstone,species are,sub,exchange of
33,design of,planning of,power and,architecture of,interaction of,associated,sandy,third,species of,endemic species,universal value
34,architectural and artistic,development of architecture,military,romanesque,cultural landscape,directly,marine,peak,broad,endemic to,la
35,monumental arts,the interchange of,inscriptions,style of,interaction with,who,lake,rift,dynamic,terrestrial,universal significance
36,decorative,development of,an exceptional testimony to the,buildings of,urban layout,christianity,red,deep,endangered,threatened species,universal
37,technological,production of,political and,fortified,example of a traditional,buddhism,notable,highest,species have,breeding,globally
38,renaissance,synthesis of,maya,brick,human creative,political and,nesting,provides a,globally,habitat,st
39,technological ensemble,planning in,ceremonial,art of,urban ensemble,and tangibly associated with,waters,huge,species include,fish,temperate
40,perfect,renaissance,exceptional testimony to a,urban fabric,ceremonial,muslim,natural beauty,below,bird,marine,global
41,of human creative genius,italian,wine,wooden,human history,cult,blue,provides,diverse,conservation of,interchange of
42,achieved,construction,testimony to,architecture in,community,islam,steep,sea,evolutionary processes,montane,saint
43,technical,islamic,muslim,baroque,urban planning,and tangibly associated,bird,nearly,species and,endemic to the,is directly and
44,innovative,influences,pre,developments in,way of life,traditions of,dune,broad,reef,endemism,del
45,architecture in,profound influence,chinese,layout and,culture and,portuguese,longest,abundant,pristine,lowland,montane
46,temple of,architectural and,rituals,hydraulic,hunting,symbolic,visible,provides an,ecosystems and,temperate,restricted
47,ideal,arts,social and,town planning,way the,culture and,below,red,atlantic,birds,sub
48,created by,development of the,cultural,civil,human,symbol of,sea level,any,biodiversity,plant,tangibly
49,creation of,art,trade,monumental,management of,sacred,above,global,critically endangered,rare,internationally
